Scene,Position,True Positives,False Positives,False Negatives,TP/FP Ratio,Precision
2025-03-13_00-38-51,25.00_50.00,1,8,41,0.125,0.1111111111111111
2025-03-13_00-38-51,45.00_45.00,16,24,19,0.6666666666666666,0.4
2025-03-13_00-38-51,45.00_60.00,0,8,8,0.0,0.0
2025-03-13_00-38-51,75.00_55.00,2,1,13,2.0,0.6666666666666666
2025-03-13_01-00-07,25.00_50.00,16,32,24,0.5,0.3333333333333333
2025-03-13_01-00-07,45.00_45.00,22,26,22,0.8461538461538461,0.4583333333333333
2025-03-13_01-00-07,45.00_60.00,17,11,9,1.5454545454545454,0.6071428571428571
2025-03-13_01-00-07,75.00_55.00,13,18,10,0.7222222222222222,0.41935483870967744
