=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.06 22:49:12 =~=~=~=~=~=~=~=~=~=~=~=
60292,-0.74,0.70,1.44,0
70004,-0.71,0.87,1.58,0
80164,-0.73,0.87,1.60,0
90332,-0.73,1.05,1.77,0
100048,-0.73,1.22,1.94,0
110260,-0.73,1.22,1.94,0
120044,-0.74,1.39,2.13,10
130300,-0.73,1.56,2.29,57
140120,-0.73,1.74,2.46,58
150376,-0.71,1.74,2.44,58
160200,-0.73,1.91,2.63,59
170048,-0.73,2.08,2.80,60
180304,-0.73,2.08,2.80,60
190120,-0.71,2.25,2.96,60
200376,-0.73,2.42,3.14,61
210208,-0.71,2.59,3.30,62
220032,-0.74,2.59,3.33,62
230296,-0.73,2.76,3.48,63
240120,-0.74,2.92,3.67,64
250384,-0.74,2.92,3.67,64
260208,-0.73,3.09,3.82,65
270024,-0.71,3.26,3.96,65
280284,-0.73,3.42,4.15,66
290112,-0.73,3.42,4.15,66
300396,-0.73,3.58,4.31,67
310220,-0.73,3.75,4.47,68
320044,-0.71,3.75,4.45,68
330296,-0.73,3.91,4.63,69
340128,-0.73,4.07,4.79,69
350384,-0.74,4.23,4.97,70
360224,-0.74,4.23,4.97,70
370048,-0.73,4.38,5.11,71
380312,-0.74,4.54,5.28,72
390128,-0.73,4.69,5.42,73
400408,-0.73,4.69,5.42,73
410232,-0.74,4.85,5.59,73
420068,-0.73,5.00,5.73,74
430328,-0.71,5.00,5.71,74
440148,-0.74,5.15,5.89,75
450392,-0.73,5.30,6.02,76
460216,-0.73,5.45,6.17,76
470064,-0.71,5.45,6.15,76
480328,-0.71,5.59,6.30,77
490144,-0.74,5.74,6.48,78
500400,-0.73,5.74,6.46,78
510232,-0.74,5.88,6.62,79
520056,-0.71,6.02,6.73,79
530320,-0.73,6.16,6.88,80
540152,-0.73,6.16,6.88,80
550416,-0.73,6.29,7.02,81
560240,-0.73,6.43,7.15,81
570064,-0.74,6.43,7.17,81
580336,-0.73,6.56,7.29,82
590168,-0.74,6.69,7.43,83
600000,-0.73,6.82,7.55,83
610256,-0.74,6.82,7.56,83
620080,-0.73,6.95,7.67,84
630336,-0.73,7.07,7.80,84
640176,-0.74,7.07,7.81,85
650008,-0.73,7.19,7.92,85
660276,-0.76,7.31,8.07,86
670096,-0.73,7.43,8.16,86
680352,-0.73,7.43,8.16,86
690184,-0.74,7.55,8.29,87
700012,-0.73,7.66,8.39,87
710284,-0.74,7.66,8.40,88
720120,-0.74,7.77,8.51,88
730380,-0.74,7.88,8.62,89
740204,-0.73,7.99,8.71,89
750028,-0.74,7.99,8.73,89
760300,-0.73,8.09,8.82,90
770128,-0.73,8.19,8.92,90
780392,-0.74,8.29,9.03,91
790216,-0.73,8.29,9.02,91
800052,-0.73,8.39,9.11,91
810320,-0.74,8.48,9.22,92
820160,-0.73,8.48,9.21,92
830420,-0.74,8.57,9.31,92
840240,-0.71,8.66,9.37,92
850064,-0.73,8.75,9.47,93
860340,-0.73,8.75,9.47,93
870176,-0.73,8.83,9.56,93
880008,-0.73,8.91,9.64,94
890276,-0.74,8.91,9.65,94
900104,-0.73,8.99,9.71,94
910368,-0.74,9.06,9.81,95
920200,-0.73,9.14,9.86,95
930044,-0.74,9.14,9.88,95
940296,-0.73,9.21,9.93,95
950140,-0.73,9.27,10.00,95
960016,-0.73,9.27,10.00,95
970336,-0.74,9.34,10.08,96
980228,-0.74,9.40,10.14,96
990124,-0.73,9.46,10.18,96
1000428,-0.73,9.46,10.18,96
1010360,-0.73,9.51,10.24,97
1020304,-0.73,9.56,10.29,97
1030248,-0.73,9.56,10.29,97
1040196,-0.73,9.61,10.34,97
1050136,-0.71,9.66,10.37,97
1060092,-0.73,9.70,10.43,98
1070024,-0.73,9.70,10.43,98
1080400,-0.73,9.74,10.47,98
1090356,-0.76,9.78,10.54,98
1100292,-0.73,9.82,10.54,98
1110244,-0.73,9.82,10.54,98
1120192,-0.73,9.85,10.57,98
1130136,-0.71,9.88,10.58,98
1140100,-0.74,9.88,10.62,99
1150040,-0.71,9.90,10.61,99
1160420,-0.73,9.93,10.65,99
1170368,-0.73,9.95,10.67,99
1180316,-0.74,9.95,10.69,99
1190272,-0.73,9.96,10.69,99
1200224,-0.74,9.98,10.72,99
1210168,-0.73,9.98,10.70,99
1220116,-0.71,9.99,10.69,99
1230060,-0.71,9.99,10.70,99
1240000,-0.74,10.00,10.74,99
1250408,-0.73,10.00,10.72,99
1260380,-0.74,10.00,10.74,99
1270332,-0.73,10.00,10.72,99
1280308,-0.76,10.00,10.76,99
1290304,-0.73,9.99,10.72,99
1300264,-0.71,9.99,10.69,99
1310200,-0.73,9.98,10.70,99
1320152,-0.74,9.98,10.72,99
1330112,-0.73,9.96,10.69,99
1340056,-0.73,9.95,10.67,99
1350016,-0.71,9.95,10.65,99
1360400,-0.71,9.93,10.63,99
1370344,-0.74,9.90,10.65,99
1380292,-0.74,9.88,10.62,99
1390236,-0.74,9.88,10.62,99
1400192,-0.73,9.85,10.57,98
1410164,6.49,9.82,3.32,62
1420168,10.97,9.82,-1.15,0
1430200,11.04,9.78,-1.26,0
1440232,11.02,9.74,-1.28,0
1450288,10.95,9.70,-1.25,0
1460320,10.90,9.70,-1.20,0
1470344,10.85,9.66,-1.19,0
1480376,10.88,9.61,-1.27,0
1490408,10.88,9.56,-1.32,0
1500024,10.88,9.56,-1.32,0
1510048,10.88,9.51,-1.37,0
1520096,10.88,9.46,-1.43,0
1530160,10.88,9.46,-1.43,0
1540224,10.88,9.40,-1.49,0
1550256,10.88,9.34,-1.55,0
1560312,10.88,9.27,-1.61,0
1570352,10.88,9.27,-1.61,0
1580400,10.88,9.21,-1.68,0
1590000,10.88,9.14,-1.75,0
1600048,10.88,9.14,-1.75,0
1610080,10.88,9.06,-1.82,0
1620108,10.88,8.99,-1.89,0
1630136,10.88,8.91,-1.97,0
1640168,10.88,8.91,-1.97,0
1650192,10.88,8.83,-2.05,-10
1660272,10.88,8.75,-2.14,-10
1670376,10.85,8.75,-2.10,-10
1680032,10.85,8.66,-2.19,-10
1690136,10.17,8.57,-1.59,0
1700180,8.70,8.48,-0.22,0
1710152,7.91,8.48,0.57,0
1720128,7.91,8.39,0.48,0
1730108,7.93,8.29,0.36,0
1740084,7.93,8.29,0.36,0
1750064,7.89,8.19,0.30,0
1760016,7.91,8.09,0.18,0
1770416,7.93,7.99,0.06,0
1780376,7.91,7.99,0.08,0
1790344,7.89,7.88,-0.01,0
1800332,7.89,7.77,-0.12,0
1810312,7.91,7.77,-0.14,0
1820276,7.89,7.66,-0.23,0
1830260,7.89,7.55,-0.35,0
1840256,7.91,7.43,-0.48,0
1850240,7.89,7.43,-0.46,0
1860208,7.91,7.31,-0.60,0
1870192,7.88,7.19,-0.68,0
1880184,7.91,7.19,-0.72,0
1890176,7.91,7.07,-0.84,0
1900136,7.89,6.95,-0.95,0
1910112,7.91,6.82,-1.09,0
1920096,7.89,6.82,-1.07,0
1930080,7.91,6.69,-1.22,0
1940056,7.91,6.56,-1.35,0
1950032,7.91,6.43,-1.48,0
1960024,7.89,6.43,-1.47,0
1970024,7.91,6.29,-1.62,0
1980000,7.91,6.16,-1.75,0
1990424,7.91,6.16,-1.75,0
2000408,7.89,6.02,-1.88,0
2010376,7.91,5.88,-2.03,-10
2020404,7.89,5.74,-2.16,-10
2030420,7.91,5.74,-2.18,-10
2040016,6.77,5.59,-1.18,0
2050024,5.32,5.45,0.12,0
2060008,5.31,5.45,0.14,0
2070408,5.27,5.30,0.03,0
2080360,5.32,5.15,-0.17,0
2090328,5.29,5.00,-0.29,0
2100296,5.31,5.00,-0.31,0
2110280,5.31,4.85,-0.46,0
2120264,5.31,4.69,-0.61,0
2130240,5.31,4.69,-0.61,0
2140224,5.31,4.54,-0.77,0
2150216,5.31,4.38,-0.92,0
2160200,5.31,4.23,-1.08,0
2170184,5.31,4.23,-1.08,0
2180168,5.31,4.07,-1.24,0
2190176,5.29,3.91,-1.38,0
2200152,5.31,3.91,-1.40,0
2210128,5.31,3.75,-1.56,0
2220124,5.31,3.58,-1.72,0
2230136,5.31,3.42,-1.89,0
2240112,5.31,3.42,-1.89,0
2250104,5.31,3.26,-2.05,-10
2260144,4.92,3.09,-1.83,0
2270112,4.40,3.09,-1.31,0
2280072,4.40,2.92,-1.47,0
2290064,4.40,2.76,-1.64,0
