=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.25 14:05:00 =~=~=~=~=~=~=~=~=~=~=~=
789þ28,9.94,0.00,-9.94,0.00,-1.49
2576,9.94,0.08,-9.86,0.00,-1.48
5180,9.92,0.16,-9.76,0.00,-1.46
7784,9.94,0.24,-9.69,0.00,-1.45
10396,9.90,0.33,-9.58,0.00,-1.44
13064,9.96,0.41,-9.55,0.00,-1.43
15724,9.94,0.49,-9.45,0.00,-1.42
18372,9.92,0.58,-9.35,0.00,-1.40
21036,9.92,0.66,-9.26,0.00,-1.39
23700,9.90,0.74,-9.16,0.00,-1.37
26344,9.90,0.82,-9.08,0.00,-1.36
28976,9.90,0.91,-9.00,0.00,-1.35
31608,9.94,0.99,-8.95,0.00,-1.34
34260,9.92,1.07,-8.85,0.00,-1.33
36908,9.92,1.15,-8.77,0.00,-1.32
39564,9.92,1.23,-8.69,0.00,-1.30
42212,9.94,1.31,-8.63,0.00,-1.29
44876,9.89,1.39,-8.50,0.00,-1.27
47516,9.92,1.47,-8.45,0.00,-1.27
50168,9.92,1.55,-8.37,0.00,-1.26
52836,9.92,1.63,-8.29,0.00,-1.24
55496,9.92,1.71,-8.21,0.00,-1.23
58272,9.94,1.79,-8.15,0.00,-1.22
61160,9.90,1.87,-8.03,0.00,-1.20
64052,9.90,1.96,-7.95,0.00,-1.19
66940,9.89,2.04,-7.84,0.00,-1.18
69832,9.94,2.12,-7.81,0.00,-1.17
72724,9.92,2.21,-7.72,0.00,-1.16
75612,9.90,2.29,-7.62,0.00,-1.14
78500,9.92,2.37,-7.55,0.00,-1.13
81392,9.94,2.45,-7.49,0.00,-1.12
84280,9.92,2.53,-7.40,0.00,-1.11
87172,9.90,2.60,-7.30,0.00,-1.10
90060,9.92,2.68,-7.24,0.00,-1.09
92952,9.90,2.76,-7.15,0.00,-1.07
95840,9.92,2.83,-7.09,0.00,-1.06
98732,9.94,2.91,-7.03,0.00,-1.05
101620,9.90,2.98,-6.92,0.00,-1.04
104596,9.90,3.05,-6.85,0.00,-1.03
107572,9.89,3.13,-6.76,0.00,-1.01
110544,9.92,3.20,-6.72,0.00,-1.01
113520,9.90,3.27,-6.63,0.00,-0.99
116496,9.94,3.34,-6.60,0.00,-0.99
119472,9.90,3.41,-6.49,0.00,-0.97
122444,9.96,3.48,-6.48,0.00,-0.97
125420,9.92,3.54,-6.38,0.00,-0.96
128396,9.92,3.61,-6.31,0.00,-0.95
131372,9.92,3.67,-6.25,0.00,-0.94
134344,9.96,3.74,-6.22,0.00,-0.93
137320,9.96,3.80,-6.16,0.00,-0.92
140300,9.90,3.86,-6.05,0.00,-0.91
143272,9.94,3.92,-6.02,0.00,-0.90
146244,9.94,3.97,-5.96,0.00,-0.89
149220,9.90,4.03,-5.87,0.00,-0.88
152196,9.92,4.09,-5.84,0.00,-0.88
155172,9.90,4.14,-5.77,0.00,-0.86
158144,9.89,4.19,-5.70,0.00,-0.85
161120,9.94,4.24,-5.70,0.00,-0.85
164096,9.94,4.29,-5.65,0.00,-0.85
167072,9.90,4.34,-5.57,0.00,-0.84
170044,9.92,4.38,-5.54,0.00,-0.83
173020,9.90,4.43,-5.48,0.00,-0.82
175996,9.90,4.47,-5.43,0.00,-0.82
178972,9.90,4.51,-5.39,0.00,-0.81
181944,9.92,4.55,-5.37,0.00,-0.81
184920,9.89,4.59,-5.30,0.00,-0.79
187896,9.90,4.62,-5.28,0.00,-0.79
190872,9.90,4.66,-5.24,0.00,-0.79
193844,9.92,4.69,-5.23,0.00,-0.78
196820,9.90,4.72,-5.18,0.00,-0.78
199796,9.92,4.75,-5.17,0.00,-0.78
202772,9.96,4.78,-5.17,0.00,-0.78
205744,9.92,4.81,-5.11,0.00,-0.77
208720,9.90,4.83,-5.07,0.00,-0.76
211696,9.90,4.86,-5.05,0.00,-0.76
214672,9.90,4.88,-5.03,0.00,-0.75
217644,9.94,4.90,-5.04,0.00,-0.76
220620,9.94,4.92,-5.02,0.00,-0.75
223596,9.90,4.93,-4.97,0.00,-0.75
226572,9.94,4.95,-4.99,0.00,-0.75
229544,9.90,4.96,-4.95,0.00,-0.74
232520,9.89,4.97,-4.92,0.00,-0.74
235496,9.92,4.98,-4.94,0.00,-0.74
238472,9.92,4.99,-4.93,0.00,-0.74
241444,9.92,4.99,-4.93,0.00,-0.74
244420,9.92,5.00,-4.92,0.00,-0.74
247396,9.92,5.00,-4.92,0.00,-0.74
250372,9.92,5.00,-4.92,0.00,-0.74
253344,9.92,5.00,-4.92,0.00,-0.74
256320,9.90,5.00,-4.91,0.00,-0.74
259296,9.92,4.99,-4.93,0.00,-0.74
262272,9.92,4.99,-4.94,0.00,-0.74
265244,9.94,4.98,-4.96,0.00,-0.74
268220,9.89,4.97,-4.92,0.00,-0.74
271196,9.90,4.96,-4.95,0.00,-0.74
274172,9.90,4.94,-4.96,0.00,-0.74
277144,9.89,4.93,-4.96,0.00,-0.74
280120,9.94,4.91,-5.03,0.00,-0.75
283096,9.94,4.89,-5.05,0.00,-0.76
286072,9.92,4.87,-5.05,0.00,-0.76
289044,9.89,4.85,-5.04,0.00,-0.76
292020,9.90,4.83,-5.08,0.00,-0.76
294996,9.92,4.80,-5.12,0.00,-0.77
297972,9.92,4.77,-5.15,0.00,-0.77
300944,9.90,4.75,-5.16,0.00,-0.77
303920,9.92,4.72,-5.21,0.00,-0.78
306896,9.92,4.68,-5.24,0.00,-0.79
309872,9.90,4.65,-5.25,0.00,-0.79
312844,9.92,4.62,-5.31,0.00,-0.80
315820,9.92,4.58,-5.34,0.00,-0.80
318796,9.94,4.54,-5.40,0.00,-0.81
321772,9.89,4.50,-5.39,0.00,-0.81
324744,9.94,4.46,-5.48,0.00,-0.82
327720,9.94,4.42,-5.52,0.00,-0.83
330696,9.94,4.37,-5.57,0.00,-0.84
333672,9.92,4.32,-5.60,0.00,-0.84
336644,9.94,4.28,-5.66,0.00,-0.85
339620,9.92,4.23,-5.69,0.00,-0.85
342596,9.90,4.18,-5.73,0.00,-0.86
345572,9.94,4.13,-5.81,0.00,-0.87
348544,9.94,4.07,-5.87,0.00,-0.88
351520,9.92,4.02,-5.90,0.00,-0.89
354496,9.90,3.96,-5.94,0.00,-0.89
357472,9.92,3.90,-6.02,0.00,-0.90
360444,9.89,3.84,-6.04,0.00,-0.91
363420,9.94,3.78,-6.16,0.00,-0.92
